DATA,ABERTURA,FECHAMENTO,VARIAÇÃO,MÍNIMO,MÁXIMO,VOLUME
30/12/2019,116530,115645,-076,115599,117086,15390000000
27/12/2019,117205,116534,-057,115995,117803,16560000000
26/12/2019,115864,117203,185,115673,117220,15950000000
23/12/2019,115119,115070,-004,114964,115289,8430000000
20/12/2019,115133,115121,-001,114526,115171,24140000000
19/12/2019,114313,115131,071,113712,115132,21690000000
18/12/2019,112618,114315,151,112300,114339,53760000000
17/12/2019,111897,112616,064,111897,112695,19950000000
16/12/2019,112565,111896,-059,111896,113197,34290000000
13/12/2019,112205,112565,038,111780,112829,25920000000
12/12/2019,110963,112143,106,110963,112298,14720000000
11/12/2019,110672,110964,026,110530,111227,15960000000
10/12/2019,110973,110672,-028,110133,111184,17050000000
09/12/2019,111125,110977,-013,110870,111453,18490000000
06/12/2019,110623,111126,046,110623,111430,17810000000
05/12/2019,110297,110622,029,110008,111073,17310000000
04/12/2019,108962,110301,123,108962,110301,18130000000
03/12/2019,108931,108956,003,108190,109198,17030000000
02/12/2019,108233,108928,064,108233,109279,16960000000
29/11/2019,108290,108233,-005,107759,108708,7940000000
28/11/2019,107708,108290,054,107148,108333,12860000000
27/11/2019,107059,107708,061,106312,107991,15280000000
26/11/2019,108424,107059,-126,106414,108424,16730000000
25/11/2019,108692,108424,-025,108080,108915,15110000000
22/11/2019,107497,108692,111,107157,108692,15580000000
21/11/2019,105866,107497,154,105864,107497,19210000000
19/11/2019,106269,105864,-038,105367,106950,14210000000
18/11/2019,106566,106269,-027,106246,107519,27190000000
14/11/2019,106052,106557,047,105820,106758,18310000000
13/11/2019,106751,106060,-065,105261,106786,26900000000
12/11/2019,108368,106751,-149,106232,108368,19010000000
11/11/2019,107622,108367,069,106814,108367,14490000000
08/11/2019,109572,107629,-178,107127,109572,20330000000
07/11/2019,108360,109581,113,108360,109672,20250000000
06/11/2019,108719,108353,-034,107446,109633,20380000000
05/11/2019,108779,108719,006,108253,109343,20800000000
04/11/2019,108196,108651,042,108196,109352,16030000000
01/11/2019,107221,108196,091,107220,108496,20790000000
31/10/2019,108403,107220,-110,106356,108403,19550000000
30/10/2019,107557,108408,079,106622,108408,18860000000
29/10/2019,108189,107556,-058,107313,108195,15050000000
28/10/2019,107366,108187,077,107362,108393,14960000000
25/10/2019,106990,107364,035,106990,108083,17360000000
24/10/2019,107553,106986,-052,106593,107744,18940000000
23/10/2019,107381,107544,015,107041,107959,17010000000
22/10/2019,106023,107381,128,105927,107421,18550000000
21/10/2019,104729,106022,124,104696,106027,18940000000
18/10/2019,105012,104729,-027,104525,105464,16290000000
17/10/2019,105389,105016,-039,104827,105891,15250000000
16/10/2019,104486,105423,089,103521,105462,23750000000
