DATA,ABERTURA,FECHAMENTO,VARIAÇÃO,MÍNIMO,MÁXIMO,VOLUME
30/12/2019,3169,3198,0.89,3169,3200,197860000
27/12/2019,3135,3169,1.10,3135,3175,275550000
26/12/2019,3086,3135,1.87,3086,3135,289200000
23/12/2019,3052,3077,0.83,3052,3078,193580000
20/12/2019,3026,3052,0.84,3026,3054,242700000
19/12/2019,3012,3026,0.49,3012,3029,227250000
18/12/2019,2997,3012,0.50,2997,3012,252720000
17/12/2019,2990,2997,0.22,2990,2999,260930000
16/12/2019,2981,2990,0.30,2980,2992,253210000
13/12/2019,2972,2981,0.31,2972,2987,262980000
12/12/2019,2959,2972,0.44,2959,2972,192260000
11/12/2019,2946,2959,0.44,2945,2960,185020000
10/12/2019,2935,2946,0.38,2933,2947,246100000
09/12/2019,2931,2935,0.12,2928,2936,261420000
06/12/2019,2919,2931,0.41,2919,2935,218090000
05/12/2019,2916,2919,0.10,2916,2924,215460000
04/12/2019,2908,2916,0.30,2908,2921,222550000
03/12/2019,2892,2908,0.55,2892,2909,190730000
02/12/2019,2890,2892,0.15,2888,2898,258110000
29/11/2019,2885,2887,0.10,2884,2890,100420000
28/11/2019,2877,2884,0.25,2875,2889,163300000
27/11/2019,2877,2877,0.11,2872,2882,198320000
26/11/2019,2873,2874,0.05,2872,2879,189450000
25/11/2019,2872,2873,0.02,2867,2874,252490000
22/11/2019,2859,2872,0.45,2859,2873,178840000
21/11/2019,2852,2859,0.25,2852,2864,257760000
19/11/2019,2838,2852,0.49,2838,2856,236210000
18/11/2019,2830,2838,0.31,2830,2840,201740000
14/11/2019,2825,2830,0.17,2825,2833,169290000
13/11/2019,2828,2825,-0.11,2825,2833,184770000
12/11/2019,2829,2828,-0.03,2826,2834,183740000
11/11/2019,2833,2829,-0.16,2828,2837,191130000
08/11/2019,2827,2833,0.23,2825,2837,223050000
07/11/2019,2814,2827,0.46,2814,2827,192100000
06/11/2019,2802,2814,0.40,2802,2821,238940000
05/11/2019,2805,2802,0.00,2802,2809,230260000
04/11/2019,2796,2802,0.24,2796,2804,215850000
01/11/2019,2792,2796,0.14,2781,2799,281090000
31/10/2019,2778,2792,0.50,2776,2792,191330000
30/10/2019,2770,2778,0.31,2770,2778,158950000
29/10/2019,2769,2770,0.02,2769,2776,151590000
28/10/2019,2766,2769,0.10,2764,2770,147110000
25/10/2019,2759,2766,0.27,2759,2769,156720000
24/10/2019,2755,2759,0.13,2755,2763,158930000
23/10/2019,2747,2755,0.29,2747,2760,144910000
22/10/2019,2741,2747,0.23,2740,2750,145990000
21/10/2019,2726,2741,0.55,2726,2741,152490000
18/10/2019,2717,2726,0.33,2717,2727,120870000
17/10/2019,2716,2717,0.06,2716,2720,142500000
16/10/2019,2706,2716,0.36,2706,2716,135100000
15/10/2019,2697,2706,0.32,2697,2706,135240000
14/10/2019,2697,2697,0.03,2694,2701,141810000
11/10/2019,2689,2697,0.28,2689,2697,147100000
10/10/2019,2685,2689,0.13,2685,2690,113900000
09/10/2019,2683,2685,0.09,2683,2687,112980000
08/10/2019,2682,2683,0.05,2682,2686,127070000
07/10/2019,2682,2682,-0.04,2681,2685,139130000
04/10/2019,2676,2682,0.24,2676,2685,118940000
03/10/2019,2677,2676,-0.03,2674,2680,130840000
02/10/2019,2677,2677,0.00,2673,2680,175490000
01/10/2019,2684,2677,-0.27,2673,2689,196950000
30/09/2019,2678,2684,0.24,2678,2685,130870000
27/09/2019,2670,2678,0.31,2670,2678,115380000
26/09/2019,2672,2670,-0.11,2670,2675,131680000
25/09/2019,2668,2672,0.17,2667,2674,165660000
24/09/2019,2667,2668,0.05,2665,2669,122460000
23/09/2019,2668,2667,-0.04,2663,2670,124230000
20/09/2019,2665,2668,0.12,2665,2669,123800000
19/09/2019,2659,2664,0.21,2659,2666,124350000
18/09/2019,2659,2659,0.00,2658,2663,133540000
17/09/2019,2656,2659,0.12,2656,2661,104290000
16/09/2019,2658,2656,-0.09,2656,2660,104660000
13/09/2019,2656,2658,0.10,2656,2660,104540000
12/09/2019,2652,2656,0.13,2651,2657,61990000
11/09/2019,2658,2652,-0.21,2652,2660,123660000
10/09/2019,2658,2658,-0.02,2654,2662,119230000
09/09/2019,2660,2658,-0.06,2656,2663,137520000
06/09/2019,2660,2660,-0.02,2658,2663,134380000
05/09/2019,2662,2660,-0.07,2658,2665,140670000
04/09/2019,2657,2662,0.18,2657,2663,118910000
03/09/2019,2657,2657,0.03,2656,2662,130880000
02/09/2019,2657,2657,0.00,2651,2660,129230000
30/08/2019,2639,2657,0.65,2639,2657,146170000
29/08/2019,2632,2639,0.28,2629,2640,86300000
28/08/2019,2624,2632,0.30,2622,2632,99200000
27/08/2019,2621,2624,0.11,2621,2626,101190000
26/08/2019,2627,2621,-0.23,2618,2630,104660000
23/08/2019,2626,2627,0.04,2623,2628,111450000
22/08/2019,2626,2626,0.03,2625,2629,84590000
21/08/2019,2624,2626,0.06,2623,2629,105520000
20/08/2019,2633,2624,-0.36,2622,2634,123830000
19/08/2019,2637,2633,-0.14,2630,2638,114230000
16/08/2019,2627,2637,0.38,2625,2637,115500000
15/08/2019,2629,2627,-0.09,2626,2634,92040000
14/08/2019,2636,2629,-0.26,2629,2638,96550000
13/08/2019,2629,2636,0.27,2629,2638,90390000
12/08/2019,2639,2629,-0.37,2621,2640,131020000
09/08/2019,2651,2639,-0.45,2636,2653,145700000
08/08/2019,2653,2651,-0.09,2640,2654,129250000
07/08/2019,2650,2653,0.14,2649,2654,126800000
06/08/2019,2647,2650,0.09,2646,2652,119210000
