DATA,ABERTURA,FECHAMENTO,VARIAÇÃO,MÍNIMO,MÁXIMO,VOLUME
30/12/2019,14.02,14.12,1.80,14.02,14.38,4410000
27/12/2019,14.59,13.87,-4.48,13.20,14.99,10900000
26/12/2019,14.06,14.52,3.27,14.06,14.55,3140000
23/12/2019,13.62,14.06,3.23,13.60,14.40,4600000
20/12/2019,13.08,13.62,4.13,13.08,13.88,3270000
19/12/2019,12.90,13.08,1.79,12.89,13.19,3260000
18/12/2019,12.48,12.85,3.21,12.45,12.85,3220000
17/12/2019,12.11,12.45,2.72,12.11,12.50,6070000
16/12/2019,12.00,12.12,1.00,11.97,12.15,3060000
13/12/2019,11.89,12.00,2.04,11.79,12.10,4370000
12/12/2019,11.80,11.76,0.51,11.71,11.80,3030000
11/12/2019,11.65,11.70,0.43,11.65,11.77,3020000
10/12/2019,11.76,11.65,-0.94,11.64,11.84,3370000
09/12/2019,11.74,11.76,0.26,11.74,11.85,3150000
06/12/2019,11.63,11.73,1.03,11.61,11.75,2510000
05/12/2019,11.54,11.61,0.69,11.54,11.65,2130000
04/12/2019,11.50,11.53,0.35,11.48,11.55,3120000
03/12/2019,11.37,11.49,1.06,11.37,11.50,2470000
02/12/2019,11.40,11.37,-0.87,11.34,11.45,2550000
29/11/2019,11.30,11.47,1.68,11.29,11.48,3840000
28/11/2019,11.15,11.28,1.26,11.15,11.29,1700000
27/11/2019,11.20,11.14,-0.54,11.00,11.25,9600000
26/11/2019,11.28,11.20,-0.62,11.19,11.30,3560000
25/11/2019,11.28,11.27,0.63,11.19,11.30,3470000
22/11/2019,11.24,11.20,-0.36,11.16,11.30,4270000
21/11/2019,11.23,11.24,0.09,11.20,11.27,2540000
19/11/2019,11.26,11.23,-0.35,11.19,11.27,2560000
18/11/2019,11.20,11.27,0.63,11.20,11.28,3050000
14/11/2019,11.38,11.20,-1.75,11.17,11.38,4450000
13/11/2019,11.50,11.40,-1.21,11.30,11.54,2870000
12/11/2019,11.50,11.54,0.79,11.47,11.60,1710000
11/11/2019,11.40,11.45,0.70,11.39,11.60,2180000
08/11/2019,11.55,11.37,-1.90,11.35,11.59,2970000
07/11/2019,11.55,11.59,0.87,11.51,11.68,2150000
06/11/2019,11.40,11.49,0.79,11.40,11.54,1850000
05/11/2019,11.24,11.40,1.42,11.24,11.46,2100000
04/11/2019,11.20,11.24,0.36,11.20,11.27,1920000
01/11/2019,11.19,11.20,0.00,11.18,11.21,1960000
31/10/2019,11.20,11.20,-0.09,11.19,11.20,2410000
30/10/2019,11.20,11.21,0.18,11.19,11.26,2330000
29/10/2019,11.23,11.19,-0.09,11.18,11.23,1930000
28/10/2019,11.20,11.20,0.00,11.18,11.23,1760000
25/10/2019,11.20,11.20,0.18,11.18,11.20,2160000
24/10/2019,11.20,11.18,-0.18,11.18,11.22,1650000
23/10/2019,11.20,11.20,0.00,11.18,11.26,2170000
22/10/2019,11.20,11.20,0.00,11.18,11.27,1880000
